GPU: NVIDIA RTX A6000

Loading datasets...

Loaded 32485 files from /home/bubai-maji/speech_enhancement/data/mixtures/musan/train
Chunk length: 2.5s (40000 samples)

Initializing model...
Model: NGDM_SE | Params: 1.412M

========== START TRAINING ==========

  step 50/4061 | loss -1.814 | 216 ms/step (4.63 it/s) | elapsed 0.2 min | ETA this epoch 14.4 min
  step 100/4061 | loss -2.453 | 36 ms/step (27.49 it/s) | elapsed 0.2 min | ETA this epoch 2.4 min
  step 150/4061 | loss -2.926 | 37 ms/step (27.08 it/s) | elapsed 0.2 min | ETA this epoch 2.4 min
  step 200/4061 | loss -4.245 | 37 ms/step (27.22 it/s) | elapsed 0.3 min | ETA this epoch 2.4 min
  step 250/4061 | loss -3.827 | 38 ms/step (26.50 it/s) | elapsed 0.3 min | ETA this epoch 2.4 min
  step 300/4061 | loss -4.453 | 37 ms/step (27.15 it/s) | elapsed 0.3 min | ETA this epoch 2.3 min
  step 350/4061 | loss -4.576 | 37 ms/step (27.15 it/s) | elapsed 0.4 min | ETA this epoch 2.3 min
  step 400/4061 | loss -3.111 | 37 ms/step (27.24 it/s) | elapsed 0.4 min | ETA this epoch 2.2 min
  step 450/4061 | loss -3.977 | 38 ms/step (26.63 it/s) | elapsed 0.4 min | ETA this epoch 2.3 min
  step 500/4061 | loss -4.269 | 39 ms/step (25.64 it/s) | elapsed 0.5 min | ETA this epoch 2.3 min
  step 550/4061 | loss -3.983 | 37 ms/step (26.70 it/s) | elapsed 0.5 min | ETA this epoch 2.2 min
  step 600/4061 | loss -5.863 | 37 ms/step (26.93 it/s) | elapsed 0.5 min | ETA this epoch 2.1 min
  step 650/4061 | loss -3.773 | 37 ms/step (26.91 it/s) | elapsed 0.6 min | ETA this epoch 2.1 min
  step 700/4061 | loss -4.033 | 37 ms/step (27.08 it/s) | elapsed 0.6 min | ETA this epoch 2.1 min
  step 750/4061 | loss -3.674 | 37 ms/step (26.91 it/s) | elapsed 0.6 min | ETA this epoch 2.1 min
  step 800/4061 | loss -5.202 | 37 ms/step (27.26 it/s) | elapsed 0.6 min | ETA this epoch 2.0 min
  step 850/4061 | loss -4.133 | 37 ms/step (27.03 it/s) | elapsed 0.7 min | ETA this epoch 2.0 min
  step 900/4061 | loss -5.949 | 37 ms/step (27.05 it/s) | elapsed 0.7 min | ETA this epoch 1.9 min
