GPU: NVIDIA RTX A6000

Loading datasets...

Loaded 32485 files from /home/bubai-maji/speech_enhancement/data/mixtures/musan/train
Chunk length: 2.5s (40000 samples)

Initializing model...
Model: NGDM_SE | Params: 1.378M

========== START TRAINING ==========

  step 50/4061 | loss -3.227 | 340 ms/step (2.94 it/s) | elapsed 0.3 min | ETA this epoch 22.7 min
  step 100/4061 | loss -2.847 | 113 ms/step (8.81 it/s) | elapsed 0.4 min | ETA this epoch 7.5 min
  step 150/4061 | loss -3.852 | 113 ms/step (8.83 it/s) | elapsed 0.5 min | ETA this epoch 7.4 min
  step 200/4061 | loss -4.889 | 114 ms/step (8.79 it/s) | elapsed 0.6 min | ETA this epoch 7.3 min
  step 250/4061 | loss -2.913 | 113 ms/step (8.84 it/s) | elapsed 0.7 min | ETA this epoch 7.2 min
  step 300/4061 | loss -5.761 | 114 ms/step (8.77 it/s) | elapsed 0.8 min | ETA this epoch 7.2 min
  step 350/4061 | loss -4.143 | 114 ms/step (8.79 it/s) | elapsed 0.9 min | ETA this epoch 7.0 min
  step 400/4061 | loss -4.150 | 114 ms/step (8.77 it/s) | elapsed 0.9 min | ETA this epoch 7.0 min
  step 450/4061 | loss -3.794 | 114 ms/step (8.80 it/s) | elapsed 1.0 min | ETA this epoch 6.8 min
  step 500/4061 | loss -3.702 | 113 ms/step (8.82 it/s) | elapsed 1.1 min | ETA this epoch 6.7 min
  step 550/4061 | loss -4.456 | 114 ms/step (8.79 it/s) | elapsed 1.2 min | ETA this epoch 6.7 min
  step 600/4061 | loss -3.804 | 113 ms/step (8.84 it/s) | elapsed 1.3 min | ETA this epoch 6.5 min
  step 650/4061 | loss -5.134 | 114 ms/step (8.79 it/s) | elapsed 1.4 min | ETA this epoch 6.5 min
  step 700/4061 | loss -4.554 | 113 ms/step (8.87 it/s) | elapsed 1.5 min | ETA this epoch 6.3 min
  step 750/4061 | loss -4.458 | 113 ms/step (8.81 it/s) | elapsed 1.6 min | ETA this epoch 6.3 min
  step 800/4061 | loss -5.344 | 114 ms/step (8.78 it/s) | elapsed 1.7 min | ETA this epoch 6.2 min
  step 850/4061 | loss -5.435 | 113 ms/step (8.82 it/s) | elapsed 1.8 min | ETA this epoch 6.1 min
  step 900/4061 | loss -6.205 | 113 ms/step (8.83 it/s) | elapsed 1.9 min | ETA this epoch 6.0 min
  step 950/4061 | loss -3.790 | 114 ms/step (8.81 it/s) | elapsed 2.0 min | ETA this epoch 5.9 min
  step 1000/4061 | loss -4.920 | 114 ms/step (8.78 it/s) | elapsed 2.1 min | ETA this epoch 5.8 min
  step 1050/4061 | loss -6.561 | 114 ms/step (8.78 it/s) | elapsed 2.2 min | ETA this epoch 5.7 min
  step 1100/4061 | loss -4.838 | 114 ms/step (8.79 it/s) | elapsed 2.3 min | ETA this epoch 5.6 min
  step 1150/4061 | loss -5.418 | 114 ms/step (8.77 it/s) | elapsed 2.4 min | ETA this epoch 5.5 min
  step 1200/4061 | loss -4.641 | 114 ms/step (8.80 it/s) | elapsed 2.5 min | ETA this epoch 5.4 min
  step 1250/4061 | loss -6.913 | 114 ms/step (8.76 it/s) | elapsed 2.6 min | ETA this epoch 5.3 min
  step 1300/4061 | loss -4.659 | 114 ms/step (8.80 it/s) | elapsed 2.7 min | ETA this epoch 5.2 min
  step 1350/4061 | loss -5.890 | 114 ms/step (8.80 it/s) | elapsed 2.7 min | ETA this epoch 5.1 min
  step 1400/4061 | loss -6.763 | 115 ms/step (8.72 it/s) | elapsed 2.8 min | ETA this epoch 5.1 min
  step 1450/4061 | loss -5.629 | 113 ms/step (8.86 it/s) | elapsed 2.9 min | ETA this epoch 4.9 min
  step 1500/4061 | loss -3.576 | 114 ms/step (8.73 it/s) | elapsed 3.0 min | ETA this epoch 4.9 min
  step 1550/4061 | loss -5.690 | 114 ms/step (8.80 it/s) | elapsed 3.1 min | ETA this epoch 4.8 min
  step 1600/4061 | loss -5.809 | 114 ms/step (8.79 it/s) | elapsed 3.2 min | ETA this epoch 4.7 min
  step 1650/4061 | loss -6.572 | 114 ms/step (8.80 it/s) | elapsed 3.3 min | ETA this epoch 4.6 min
  step 1700/4061 | loss -5.807 | 113 ms/step (8.82 it/s) | elapsed 3.4 min | ETA this epoch 4.5 min
  step 1750/4061 | loss -5.279 | 114 ms/step (8.76 it/s) | elapsed 3.5 min | ETA this epoch 4.4 min
  step 1800/4061 | loss -7.028 | 113 ms/step (8.82 it/s) | elapsed 3.6 min | ETA this epoch 4.3 min
  step 1850/4061 | loss -4.498 | 114 ms/step (8.78 it/s) | elapsed 3.7 min | ETA this epoch 4.2 min
  step 1900/4061 | loss -5.183 | 114 ms/step (8.80 it/s) | elapsed 3.8 min | ETA this epoch 4.1 min
  step 1950/4061 | loss -5.996 | 113 ms/step (8.82 it/s) | elapsed 3.9 min | ETA this epoch 4.0 min
  step 2000/4061 | loss -6.234 | 113 ms/step (8.82 it/s) | elapsed 4.0 min | ETA this epoch 3.9 min
  step 2050/4061 | loss -5.227 | 114 ms/step (8.81 it/s) | elapsed 4.1 min | ETA this epoch 3.8 min
  step 2100/4061 | loss -4.404 | 114 ms/step (8.81 it/s) | elapsed 4.2 min | ETA this epoch 3.7 min
  step 2150/4061 | loss -4.028 | 103 ms/step (9.74 it/s) | elapsed 4.3 min | ETA this epoch 3.3 min
  step 2200/4061 | loss -6.300 | 93 ms/step (10.75 it/s) | elapsed 4.3 min | ETA this epoch 2.9 min
  step 2250/4061 | loss -6.852 | 96 ms/step (10.40 it/s) | elapsed 4.4 min | ETA this epoch 2.9 min
  step 2300/4061 | loss -5.593 | 110 ms/step (9.05 it/s) | elapsed 4.5 min | ETA this epoch 3.2 min
  step 2350/4061 | loss -6.225 | 114 ms/step (8.77 it/s) | elapsed 4.6 min | ETA this epoch 3.3 min
  step 2400/4061 | loss -5.967 | 114 ms/step (8.80 it/s) | elapsed 4.7 min | ETA this epoch 3.1 min
  step 2450/4061 | loss -6.049 | 113 ms/step (8.83 it/s) | elapsed 4.8 min | ETA this epoch 3.0 min
  step 2500/4061 | loss -4.189 | 114 ms/step (8.80 it/s) | elapsed 4.9 min | ETA this epoch 3.0 min
  step 2550/4061 | loss -5.663 | 113 ms/step (8.82 it/s) | elapsed 5.0 min | ETA this epoch 2.9 min
  step 2600/4061 | loss -5.139 | 114 ms/step (8.80 it/s) | elapsed 5.1 min | ETA this epoch 2.8 min
  step 2650/4061 | loss -2.925 | 114 ms/step (8.79 it/s) | elapsed 5.2 min | ETA this epoch 2.7 min
  step 2700/4061 | loss -6.425 | 114 ms/step (8.77 it/s) | elapsed 5.3 min | ETA this epoch 2.6 min
  step 2750/4061 | loss -5.782 | 102 ms/step (9.84 it/s) | elapsed 5.3 min | ETA this epoch 2.2 min
  step 2800/4061 | loss -5.729 | 96 ms/step (10.43 it/s) | elapsed 5.4 min | ETA this epoch 2.0 min
  step 2850/4061 | loss -5.682 | 103 ms/step (9.69 it/s) | elapsed 5.5 min | ETA this epoch 2.1 min
  step 2900/4061 | loss -6.181 | 112 ms/step (8.93 it/s) | elapsed 5.6 min | ETA this epoch 2.2 min
  step 2950/4061 | loss -5.402 | 115 ms/step (8.68 it/s) | elapsed 5.7 min | ETA this epoch 2.1 min
  step 3000/4061 | loss -6.125 | 114 ms/step (8.78 it/s) | elapsed 5.8 min | ETA this epoch 2.0 min
  step 3050/4061 | loss -4.611 | 117 ms/step (8.56 it/s) | elapsed 5.9 min | ETA this epoch 2.0 min
  step 3100/4061 | loss -6.661 | 114 ms/step (8.75 it/s) | elapsed 6.0 min | ETA this epoch 1.8 min
  step 3150/4061 | loss -3.869 | 114 ms/step (8.80 it/s) | elapsed 6.1 min | ETA this epoch 1.7 min
  step 3200/4061 | loss -5.027 | 114 ms/step (8.79 it/s) | elapsed 6.2 min | ETA this epoch 1.6 min
  step 3250/4061 | loss -5.934 | 113 ms/step (8.88 it/s) | elapsed 6.3 min | ETA this epoch 1.5 min
  step 3300/4061 | loss -5.715 | 114 ms/step (8.77 it/s) | elapsed 6.4 min | ETA this epoch 1.4 min
  step 3350/4061 | loss -5.804 | 113 ms/step (8.84 it/s) | elapsed 6.5 min | ETA this epoch 1.3 min
  step 3400/4061 | loss -5.423 | 114 ms/step (8.79 it/s) | elapsed 6.6 min | ETA this epoch 1.3 min
  step 3450/4061 | loss -4.683 | 113 ms/step (8.82 it/s) | elapsed 6.6 min | ETA this epoch 1.2 min
  step 3500/4061 | loss -5.725 | 114 ms/step (8.80 it/s) | elapsed 6.7 min | ETA this epoch 1.1 min
  step 3550/4061 | loss -6.107 | 114 ms/step (8.77 it/s) | elapsed 6.8 min | ETA this epoch 1.0 min
  step 3600/4061 | loss -5.340 | 114 ms/step (8.80 it/s) | elapsed 6.9 min | ETA this epoch 0.9 min
  step 3650/4061 | loss -5.027 | 113 ms/step (8.84 it/s) | elapsed 7.0 min | ETA this epoch 0.8 min
  step 3700/4061 | loss -5.509 | 114 ms/step (8.75 it/s) | elapsed 7.1 min | ETA this epoch 0.7 min
  step 3750/4061 | loss -5.692 | 113 ms/step (8.82 it/s) | elapsed 7.2 min | ETA this epoch 0.6 min
  step 3800/4061 | loss -5.834 | 114 ms/step (8.77 it/s) | elapsed 7.3 min | ETA this epoch 0.5 min
  step 3850/4061 | loss -5.874 | 114 ms/step (8.79 it/s) | elapsed 7.4 min | ETA this epoch 0.4 min
  step 3900/4061 | loss -6.332 | 116 ms/step (8.65 it/s) | elapsed 7.5 min | ETA this epoch 0.3 min
  step 3950/4061 | loss -5.054 | 114 ms/step (8.80 it/s) | elapsed 7.6 min | ETA this epoch 0.2 min
  step 4000/4061 | loss -5.563 | 114 ms/step (8.79 it/s) | elapsed 7.7 min | ETA this epoch 0.1 min
  step 4050/4061 | loss -5.889 | 114 ms/step (8.80 it/s) | elapsed 7.8 min | ETA this epoch 0.0 min
Epoch 1/50 | Train -5.081 | Val L1 0.0036 | Val SI-SDR 14.77 dB | Time 8.2 min
Saved best model (SI-SDR 14.77 dB) -> /home/bubai-maji/speech_enhancement/script/propose_ablation3/checkpoint_propose_ab3/best_NGDM_SE.pt
  step 50/4061 | loss -6.036 | 124 ms/step (8.09 it/s) | elapsed 0.1 min | ETA this epoch 8.3 min
  step 100/4061 | loss -4.523 | 114 ms/step (8.80 it/s) | elapsed 0.2 min | ETA this epoch 7.5 min
  step 150/4061 | loss -5.454 | 114 ms/step (8.77 it/s) | elapsed 0.3 min | ETA this epoch 7.4 min
  step 200/4061 | loss -4.822 | 112 ms/step (8.91 it/s) | elapsed 0.4 min | ETA this epoch 7.2 min
  step 250/4061 | loss -4.980 | 113 ms/step (8.82 it/s) | elapsed 0.5 min | ETA this epoch 7.2 min
  step 300/4061 | loss -5.862 | 114 ms/step (8.80 it/s) | elapsed 0.6 min | ETA this epoch 7.1 min
  step 350/4061 | loss -6.480 | 114 ms/step (8.81 it/s) | elapsed 0.7 min | ETA this epoch 7.0 min
  step 400/4061 | loss -5.503 | 114 ms/step (8.77 it/s) | elapsed 0.8 min | ETA this epoch 7.0 min
  step 450/4061 | loss -5.668 | 115 ms/step (8.72 it/s) | elapsed 0.9 min | ETA this epoch 6.9 min
  step 500/4061 | loss -4.461 | 113 ms/step (8.86 it/s) | elapsed 1.0 min | ETA this epoch 6.7 min
  step 550/4061 | loss -5.299 | 115 ms/step (8.72 it/s) | elapsed 1.1 min | ETA this epoch 6.7 min
  step 600/4061 | loss -5.726 | 114 ms/step (8.75 it/s) | elapsed 1.1 min | ETA this epoch 6.6 min
  step 650/4061 | loss -6.376 | 114 ms/step (8.80 it/s) | elapsed 1.2 min | ETA this epoch 6.5 min
  step 700/4061 | loss -6.166 | 114 ms/step (8.78 it/s) | elapsed 1.3 min | ETA this epoch 6.4 min
  step 750/4061 | loss -5.206 | 114 ms/step (8.81 it/s) | elapsed 1.4 min | ETA this epoch 6.3 min
  step 800/4061 | loss -5.679 | 114 ms/step (8.77 it/s) | elapsed 1.5 min | ETA this epoch 6.2 min
  step 850/4061 | loss -6.190 | 114 ms/step (8.81 it/s) | elapsed 1.6 min | ETA this epoch 6.1 min
  step 900/4061 | loss -7.195 | 113 ms/step (8.82 it/s) | elapsed 1.7 min | ETA this epoch 6.0 min
  step 950/4061 | loss -6.824 | 114 ms/step (8.78 it/s) | elapsed 1.8 min | ETA this epoch 5.9 min
  step 1000/4061 | loss -5.042 | 114 ms/step (8.80 it/s) | elapsed 1.9 min | ETA this epoch 5.8 min
  step 1050/4061 | loss -4.812 | 114 ms/step (8.75 it/s) | elapsed 2.0 min | ETA this epoch 5.7 min
  step 1100/4061 | loss -6.122 | 113 ms/step (8.84 it/s) | elapsed 2.1 min | ETA this epoch 5.6 min
  step 1150/4061 | loss -4.411 | 114 ms/step (8.80 it/s) | elapsed 2.2 min | ETA this epoch 5.5 min
  step 1200/4061 | loss -5.778 | 114 ms/step (8.77 it/s) | elapsed 2.3 min | ETA this epoch 5.4 min
  step 1250/4061 | loss -6.233 | 114 ms/step (8.78 it/s) | elapsed 2.4 min | ETA this epoch 5.3 min
  step 1300/4061 | loss -5.701 | 114 ms/step (8.80 it/s) | elapsed 2.5 min | ETA this epoch 5.2 min
  step 1350/4061 | loss -6.617 | 114 ms/step (8.81 it/s) | elapsed 2.6 min | ETA this epoch 5.1 min
  step 1400/4061 | loss -5.249 | 113 ms/step (8.84 it/s) | elapsed 2.7 min | ETA this epoch 5.0 min
  step 1450/4061 | loss -6.860 | 114 ms/step (8.74 it/s) | elapsed 2.8 min | ETA this epoch 5.0 min
  step 1500/4061 | loss -5.816 | 114 ms/step (8.80 it/s) | elapsed 2.9 min | ETA this epoch 4.9 min
  step 1550/4061 | loss -5.792 | 113 ms/step (8.82 it/s) | elapsed 2.9 min | ETA this epoch 4.7 min
  step 1600/4061 | loss -7.147 | 113 ms/step (8.82 it/s) | elapsed 3.0 min | ETA this epoch 4.6 min
  step 1650/4061 | loss -6.719 | 114 ms/step (8.78 it/s) | elapsed 3.1 min | ETA this epoch 4.6 min
  step 1700/4061 | loss -5.593 | 114 ms/step (8.78 it/s) | elapsed 3.2 min | ETA this epoch 4.5 min
  step 1750/4061 | loss -6.094 | 113 ms/step (8.86 it/s) | elapsed 3.3 min | ETA this epoch 4.3 min
  step 1800/4061 | loss -5.759 | 113 ms/step (8.84 it/s) | elapsed 3.4 min | ETA this epoch 4.3 min
